url,label
https://microsoft.com/help/center,0
https://bit.ly/bank-kyc-urgent-60,1
https://icicibank.com/profile/settings,0
http://182.238.76.48/banking/online/verify.php,1
http://unblock-bank-portal-service.top/index.html?token=435587,1
https://hdfcbank.com/support/tickets,0
https://github.com/about-us,0
https://stripe.com/account/dashboard,0
https://nytimes.com/verify/email,0
https://amazon.in/contact,0
https://bit.ly/bank-kyc-urgent-72,1
http://www.icici-kyc-verification-update.com/login,1
https://nytimes.com/about-us,0
https://google.com/verify/email,0
http://secure-login.icici.verify-portal.xyz/auth/login,1
https://www.axis-kyc-update.com/verify/index.php,1
https://stackoverflow.com/profile/settings,0
http://microsoft.com/terms-and-conditions,0
https://nytimes.com/about-us,0
https://icicibank.com/contact,0
https://wikipedia.org/products/item/1209,0
https://sbi.co.in/terms-and-conditions,0
https://www.axis-kyc-update.com/verify/index.php,1
https://nytimes.com/security/settings,0
http://88.169.169.25/banking/online/verify.php,1
http://amazon.in/support/tickets,0
http://wallet-refund-portal-service.buzz/index.html?token=900216,1
http://secure-login.hdfc.verify-portal.club/auth/login,1
http://secure-login-portal-service.cf/index.html?token=576089,1
https://stackoverflow.com/login,0
http://update-pan-portal-service.cf/index.html?token=854787,1
https://icicibank.com/verify/email,0
https://bit.ly/bank-kyc-urgent-17,1
http://37.65.49.129/banking/online/verify.php,1
http://update-pan-portal-service.cf/index.html?token=373056,1
https://flipkart.com/about-us,0
https://stripe.com/verify/email,0
https://wikipedia.org/products/item/1209,0
http://secure-login.netflix.verify-portal.club/auth/login,1
https://bit.ly/bank-kyc-urgent-85,1
http://secure-login.paytm.verify-portal.work/auth/login,1
https://flipkart.com/help/center,0
http://secure-login.hdfc.verify-portal.work/auth/login,1
https://nytimes.com/about-us,0
http://www.axis-support-verification-update.com/login,1
http://unblock-bank-portal-service.monster/index.html?token=986304,1
https://axisbank.com/support/tickets,0
http://linkedin.com/contact,0
https://hdfcbank.com/profile/settings,0
http://secure-login.paytm.verify-portal.cf/auth/login,1
http://sbi.co.in/account/dashboard,0
http://unblock-bank-portal-service.icu/index.html?token=902245,1
https://stackoverflow.com/contact,0
https://google.com/products/item/1209,0
https://apple.com/account/dashboard,0
https://zerodha.com/about-us,0
https://www.axis-kyc-update.com/verify/index.php,1
https://paytm.com/security/settings,0
http://39.43.147.108/banking/online/verify.php,1
https://bit.ly/bank-kyc-urgent-28,1
http://free-reward-portal-service.top/index.html?token=831952,1
https://icicibank.com/about-us,0
http://secure-login.icici.verify-portal.work/auth/login,1
https://bit.ly/bank-kyc-urgent-85,1
http://210.38.93.59/banking/online/verify.php,1
https://phonepe.com/profile/settings,0
http://120.145.95.154/banking/online/verify.php,1
https://nytimes.com/security/settings,0
https://github.com/products/item/1209,0
https://zerodha.com/security/settings,0
https://apple.com/about-us,0
http://secure-login.paytm.verify-portal.top/auth/login,1
http://169.30.25.36/banking/online/verify.php,1
https://paypal.com/products/item/1209,0
